YEAR,Month,NINO3.4
2021,3,26.69
2021,4,27.24
2021,5,27.56
2021,6,27.67
2021,7,27.11
2021,8,26.62
2021,9,26.49
2021,10,26
2021,11,25.97
2021,12,25.6
2022,1,25.73
2022,2,26.02
2022,3,26.34
2022,4,26.85
2022,5,26.83
2022,6,27.03
2022,7,26.68
2022,8,25.92
2022,9,25.83
2022,10,25.92
2022,11,25.89
2022,12,25.81
2023,1,25.88
2023,2,26.29
2023,3,27.23
2023,4,27.99
2023,5,28.35
2023,6,28.59
2023,7,28.37
2023,8,28.2
2023,9,28.29
